TZZK01,3598308.77,484497.87,3.489
TZZK02,3585521.70,487727.82,5.041
TZZK03,3581843.88,487736.81,5.469
TZZK04,3593716.07,492813.49,5.452
TZZK05,3594874.63,500340.86,5.904
TZZK06,3595340.79,505645.91,5.677
TZZK07,3593101.75,510968.75,6.539
TZZK08,3592613.64,506353.52,4.815
TZZK09,3595393.92,513044.79,5.676
TZZK10,3592820.68,519152.99,4.172
TZZK11,3586826.65,522882.07,4.805
TZZK12,3581949.84,521861.74,5.474
TZZK13,3583406.04,517086.73,5.29
TZZK14,3588501.27,519469.72,4.712
TZZK15,3584029.49,508393.27,5.867
TZZK16,3577616.69,497817.18,5.482
TZZK17,3577695.93,504259.13,4.728
TZZK18,3564337.28,491785.76,2.999
TZZK19,3568971.12,493906.28,3.134
TZZK20,3570425.00,490721.07,2.577
TZZK21,3573922.55,493119.96,5.199
TZZK22,3572159.76,489665.28,3.062
TZZK23,3575206.34,488156.24,4.204
TZZK24,3576802.49,489854.31,4.534
TZZK25,3578812.59,494357.38,5.501
TZZK26,3581419.06,497279.92,4.888
TZZK27,3583818.94,490053.84,5.574
TZZK28,3579486.56,488369.51,5.023
TZZK29,3582615.82,491906.38,5.229
TZZK30,3583302.02,498871.99,4.773
TZZK31,3590120.49,495156.81,6.374
TZZK32,3590964.47,517882.86,4.574
TZZK33,3589498.65,506453.24,5.469
TZZK34,3597479.99,516684.43,5.021
TZZK35,3602603.92,508224.37,2.893
TZZK36,3604511.48,505958.37,2.833
TZZK37,3598705.62,505361.43,4.351
TZZK38,3599106.03,501119.16,3.29
TZZK39,3598795.96,491676.33,4.407
TZZK40,3602865.89,488817.74,2.623
TZZK41,3604506.79,521182.65,3.405
TZZK42,3603040.16,517659.89,3.19
TZZK43,3609530.35,514927.01,2.491
TZZK44,3586809.10,505261.29,5.185
TZZK45,3587044.12,501026.47,4.92
TZZK46,3590313.33,500662.15,4.858
TZZK47,3596245.83,494808.12,5.7
TZZK48,3599027.33,494991.97,3.736
TZZK49,3603965.16,487381.20,2.671
TZZK50,3603918.64,491673.53,2.896
TZZK51,3601001.87,502939.81,2.878
TZZK52,3600303.77,515084.24,4.494
TZZK53,3604971.37,513454.86,2.676
TZZK54,3606895.04,505001.23,1.635
TZZK55,3605253.97,500422.98,3.12
TZZK56,3602425.32,495074.74,3.567
TZZK57,3604704.96,494332.90,1.921
TZZK58,3606816.37,490869.73,2.737
TZZK59,3613661.52,497308.24,3.501
TZZK60,3615758.98,494223.61,2.806
TZZK61,3608331.62,485446.64,2.478
TZZK62,3608441.33,494177.12,2.519
TZZK63,3606741.57,497810.86,2.169
TZZK64,3608488.33,510897.80,2.657
TZZK65,3613351.14,508914.80,2.304
TZZK66,3613633.93,506214.20,2.112
TZZK67,3617604.98,507439.99,2.969
TZZK68,3615526.73,502387.37,4.055
TZZK69,3597091.32,490300.46,5.581
TZZK70,3594117.21,489654.06,5.118
TZZK71,3593267.10,487833.57,4.702
TZZK72,3590979.73,490039.78,5.472
TZZK73,3599010.11,513041.74,4.666
TZZK74,3598336.29,507578.91,5.79
TZZK75,3610085.47,495764.09,2.38
TZZK76,3612415.29,492826.90,2.427
TZZK77,3581613.43,501852.07,5.735
TZZK78,3609585.34,499999.00,3.498
TZZK79,3610468.65,483279.13,2.49
TZZK80,3595790.53,483459.49,5.73
TZZK81,3591689.80,498342.97,6.81
TZZK82,3586797.43,494742.65,4.513
TZZK83,3588793.93,491705.52,4.909
TZZK84,3590415.48,509980.25,4.815
TZZK85,3588348.22,515225.03,4.372
TZZK86,3592781.92,502571.66,5.338
TZZK87,3603340.51,512069.24,3.224
TZZK88,3601302.49,497492.88,3.328
TZZK89,3599472.22,488043.17,5.162
TZZK90,3603060.94,485332.32,2.836
TZZK91,3602954.17,500631.09,1.653
TZZK92,3609024.00,488903.54,2.582
TZZK93,3583133.10,504200.40,5.231
TZZK94,3609098.93,502384.28,2.563
TZZK95,3599360.06,519403.06,3.218
TZJT01,3594664.25,485418.64,6.309
TZJT02,3600215.07,484996.41,2.961
TZJT03,3585346.74,492247.91,4.653
TZJT04,3592476.44,495515.88,5.231
TZJT05,3594538.16,497528.40,6.262
TZJT06,3600133.66,510242.67,4.719
TZJT07,3596447.09,510710.05,4.519
TZJT08,3596898.18,503798.95,4.694
TZJT09,3594758.53,516897.60,4.72
TZJT10,3594712.82,522375.56,4.497
TZJT11,3586104.94,517499.23,5.398
TZJT12,3584837.32,525504.43,4.938
TZJT13,3584219.07,512135.52,6.266
TZJT14,3575064.98,503322.27,4.448
TZJT15,3574810.68,490323.51,5.103
TZJT16,3576399.33,492512.57,5.204
TZJT17,3579355.11,490610.63,5.593
TZJT18,3586224.46,503226.29,4.737
TZJT19,3580845.21,492876.29,5.039
TZJT20,3577167.04,485790.77,3.831
TZJT21,3583876.27,494789.50,4.623
TZJT22,3580372.83,499720.91,5.315
TZJT23,3584157.07,496798.04,4.496
TZJT24,3591069.43,492779.79,5.765
TZJT25,3590682.88,513518.44,4.827
TZJT26,3601649.15,506311.61,3.616
TZJT27,3598190.76,497964.05,3.523
TZJT28,3601039.85,490033.45,2.195
TZJT29,3601238.72,520945.77,3.893
TZJT30,3606735.64,517503.58,3.254
TZJT31,3605263.79,490021.87,2.503
TZJT32,3602110.67,492808.06,2.276
TZJT33,3604844.58,509028.76,3.849
TZJT34,3607784.03,507906.79,3.714
TZJT35,3604597.73,503351.23,2.834
TZJT36,3603993.79,498191.21,2.018
TZJT37,3606806.57,487581.27,2.406
TZJT38,3605133.80,484955.74,2.896
TZJT39,3606584.40,483151.99,4.026
TZJT40,3609325.22,492305.67,3.338
TZJT41,3611291.96,497962.88,2.426
TZJT42,3615202.73,491836.95,3.046
TZJT43,3606613.75,495692.58,0.931
TZJT44,3606889.98,500268.14,2.518
TZJT45,3613184.61,501974.45,2.89
TZJT46,3611234.28,505126.22,2.809
TZJT47,3617955.66,505101.14,2.498
TZJT48,3596679.19,486610.75,5.435
TZJT49,3591278.35,487762.12,4.891
TZJT50,3613100.54,494516.36,2.942
TZJT51,3615757.73,497192.64,2.185
TZJT52,3567394.60,491267.28,3.344
TZJT53,3579689.50,502402.36,5.001
TZJT54,3583848.28,486292.82,4.222
TZJT55,3587280.83,489602.26,4.899
TZJT56,3588002.01,497388.81,5.286
TZJT57,3584246.74,501121.26,5.151
TZJT58,3589288.82,502958.81,4.949
TZJT59,3587050.09,508816.38,4.685
TZJT60,3571119.14,493310.87,3.367
TZJT61,3615884.29,505782.11,3.075
TZJT62,3607488.44,513471.39,2.841
TZJT63,3603609.77,515353.73,2.935
TZJT64,3600050.54,484885.16,2.568
TZJT65,3609160.88,497841.25,2.75
TZJT66,3600944.25,493800.91,3.256
TZJT67,3596663.11,499346.76,5.882
TZJT68,3600730.28,500066.53,2.248
TZJT69,3594693.87,508936.95,5.033
TZJT70,3593114.31,514973.07,5.247
TZJT71,3586737.07,512932.12,4.356
TZJT72,3596677.97,486490.86,5.426
TZJT73,3591404.16,523079.92,4.94
EGTZ01,3595205.86,494899.85,5.15
EGTZ02,3587411.23,485824.28,5.03
EGTZ03,3585449.35,498814.21,4.51
EGTZ04,3595959.21,508446.36,4.93
EGTZ05,3590676.66,515034.77,4.84
EGTZ06,3594963.23,477987.30,4.68
EGTZ07,3587995.79,479067.88,5.25
EGTZ08,3580462.90,479257.33,5.93
EGTZ09,3580659.86,484709.27,3.46
EGTZ10,3581946.18,495221.88,4.7
EGTZ11,3596034.24,501882.88,4.53
EGTZ12,3591110.64,505957.20,3.85
