3605840  482203
3606140  482232
3606300  481831
3606610  481921
3606560  482112
3606600  482316
3606820  482396
3606790  482527
3607080  482680
3607220  482558
3607450  482414
3607990  482521
3608210  482373
3608320  482346
3608390  482175
3608600  482205
3608700  482062
3608940  482065
3609120  481934
3609160  482108
3609260  482111
3609210  482320
3609210  482630
3609420  482616
3609440  482690
3610350  482341
3610290  482162
3610840  482145
3611260  482012
3611640  481994
3611800  483084
3611920  483333
3612230  483316
3612220  483475
3613000  483725
3613170  483731
3613110  484832
3612930  484838
3612940  485041
3612730  485041
3612720  485640
3612650  485824
3612520  485725
3612460  485867
3612180  485827
3612130  486320
3612010  486307
3611990  486398
3611920  486391
3611890  486674
3611720  486906
3612070  486954
3611980  487266
3611880  487220
3611840  487278
3611550  487165
3611370  487115
3611360  487056
3611260  487056
3611220  487229
3610800  487206
3610760  487507
3610800  487756
3610410  487866
3610500  488299
3610750  488295
3610790  488901
3610930  489073
3610920  489462
3610620  489579
3610590  489771
3610470  489785
3610470  489907
3610900  489970
3611300  490125
3611420  491156
3612180  490956
3613670  490103
3615140  489855
3616580  489231
3616730  490588
3616950  491010
3616960  491826
3616740  492998
3617280  493314
3617360  494154
3616770  494065
3616340  494906
3617040  495513
3616910  496961
3616570  497205
3616690  497816
3616580  498604
3616150  498522
3615850  498748
3615900  499102
3616000  499748
3616580  500383
3616950  501431
3617150  501387
3617150  501559
3617000  501643
3617010  501975
3616810  502056
3616980  502427
3616700  502590
3616950  502660
3617290  502512
3617320  502702
3617550  502687
3617560  502497
3617850  502467
3617840  502111
3618990  502071
3618970  502390
3619150  502763
3619310  502912
3619790  502833
3619930  503444
3620260  503457
3620280  503723
3620540  503726
3620670  504234
3621100  504286
3621150  504514
3621050  504691
3621190  505030
3620930  505126
3620870  505795
3621200  506248
3621180  506835
3620930  506766
3620820  507020
3620320  506852
3619790  507651
3619900  507876
3619870  508207
3620070  508816
3619760  508903
3619370  508728
3619140  508779
3618960  508608
3619080  508415
3618630  508164
3618600  508349
3617990  508456
3618220  509158
3617950  509881
3617510  510791
3617150  510782
3617140  510469
3616840  510414
3616680  510768
3616670  511112
3615910  510934
3615510  510422
3614970  510398
3614740  510542
3614590  510311
3614370  510426
3614330  510651
3613950  510689
3613770  510845
3613340  510788
3613370  510608
3612710  510554
3612420  510688
3612070  510083
3612310  509910
3612210  509775
3612010  509782
3611770  509431
3611740  509626
3611270  509736
3611260  509897
3610740  509955
3610190  509843
3609980  510505
3609870  511314
3610130  511309
3610150  511880
3610300  512599
3610650  512640
3610550  513412
3610680  514348
3610760  514534
3611290  514325
3611380  515035
3610710  515111
3610750  515257
3611050  515843
3611930  515868
3611910  516614
3611440  516810
3611180  517543
3610860  517949
3610480  518056
3609030  517790
3608800  518375
3608070  518814
3607300  519683
3606790  520547
3608500  523155
3607610  523746
3605810  523929
3604710  524393
3604290  524153
3602950  524771
3599400  524155
3597850  524604
3597650  523745
3596600  523690
3596430  524115
3594430  524989
3592970  525019
3590850  525310
3589800  525826
3587700  526013
3586300  526296
3585160  526583
3584830  527401
3584710  526691
3584130  526139
3583710  526244
3583720  526460
3583230  526639
3583130  527324
3583430  527814
3582240  528534
3582090  527186
3582210  526225
3581340  525668
3581410  524965
3581070  524891
3580900  525144
3579850  525272
3579630  523215
3579440  522571
3579830  522235
3580110  521396
3580400  520897
3580840  520841
3580700  520322
3581510  519556
3581200  519170
3581770  519155
3582460  518900
3582290  518072
3582000  516886
3581770  516185
3581440  516164
3581290  515377
3580930  515089
3580940  514408
3581400  514293
3581210  513073
3580850  513081
3581020  511372
3580760  510979
3581140  510468
3582340  510624
3582270  510049
3582250  509188
3582320  508724
3582310  508116
3582500  507580
3582270  507391
3582610  506835
3581780  506651
3580920  506868
3580260  506705
3579560  506323
3579310  506113
3578880  506199
3578510  506096
3577800  506359
3577290  506506
3577000  506993
3576750  507530
3576460  507601
3576110  507571
3576160  507811
3575820  507949
3575790  507144
3575380  507179
3574830  506639
3574310  506724
3574100  506225
3573980  505642
3573820  505374
3573860  504951
3573830  504532
3573560  503884
3573130  503897
3572960  503794
3572890  503609
3572840  503198
3572910  502873
3573180  502776
3573820  502781
3574050  501848
3574270  501060
3574670  500985
3575170  500987
3575210  501316
3575840  501206
3575770  500673
3576650  500538
3576520  499984
3576420  499632
3576770  499487
3576560  498664
3576180  498712
3575960  498341
3575580  498271
3575180  498390
3575110  497831
3575560  497536
3575810  497166
3576350  497130
3576400  496774
3576550  496743
3576550  496743
3576360  496497
3576580  496039
3577000  496289
3577170  496088
3576630  495751
3576660  495053
3576800  495154
3576930  494915
3577240  494617
3577060  494549
3576990  494367
3576630  494277
3576530  494376
3576270  494461
3575510  494241
3574870  494297
3574730  494055
3574270  494122
3573900  494939
3573440  494897
3572950  494560
3572760  494438
3572710  494578
3572370  494509
3572280  495119
3571820  495049
3571850  494785
3571750  494444
3571460  494424
3570890  494338
3570530  494720
3569990  495048
3569140  495213
3568530  495214
3567960  494685
3567660  494643
3567570  494430
3566060  494132
