BP01,2624296.3,515373.3,114.02
BP02,2624441.4,515609,82.46
BP03,2624492.9,515700,83.31
BP04,2624184,515331.7,91.3
BP05,2624104.1,515365,115.2
BP06,2624036.7,515391.5,86.7
BP07,2623902.5,515479.9,92.61
BP08,2624396.7,515820.5,81.76
BP09,2624286.6,515860.9,116.91.
BP10,2624202.8,515874.3,86.29
BP11,2624191.1,515892.4,84.69
BP12,2624149.1,515908.3,82.41
BP13,2624072.6,515927.3,103.92
BP14,2623836.5,515576.5,86.5
BP15,2623853.6,515623.2,88.11
BP16,2624011.6,515897,110.73
BP111,2624014.6,515920.3,113.49
BP141,2623852.2,515590.2,85.8
CK01,2624243.8,515327.8,90.76
CK02,2624276.6,515388.8,103.05
CK03,2624343.5,515474.6,113.68
CK04,2624360.9,515549,111.68
CK05,2624396,515612.9,96.29
CK06,2624438.3,515671,109.74
CK07,2624463,515738.2,104.4
CK08,2624182.7,515359,86.27
CK09,2624208.5,515440.6,117.96
CK10,2624262.5,515507.7,90.09
CK11,2624300.5,515581.2,106.95
CK12,2624334.5,515644.1,97.31
CK13,2624360.7,515707.9,106.87
CK14,2624388.5,515777.9,86.4
CK15,2624118.5,515393.2,103.66
CK16,2624159.5,515461.3,103.59
CK17,2624198.2,515541.8,101.02
CK18,2624236,515615.4,109.17
CK19,2624270,515678.4,109.09
CK20,2624303.5,515742,98.74
CK21,2624337.9,515804.6,107.89
CK22,2624054.1,515427.4,91.1
CK23,2624092.4,515497.6,112.25
CK24,2624133.7,515575.8,101.22
CK25,2624149.6,515605.6,84.93
CK26,2624171.8,515649.3,105.56
CK27,2624205.7,515712.4,96.57
CK28,2624239.2,515776.1,94.56
CK29,2623989.6,515461.6,101.61
CK30,2624028.1,515531.9,93.7
CK31,2624069.6,515610,108.15
CK32,2624120.9,515664.2,83.4
CK33,2624102.2,515680.9,88.92
CK34,2624141.3,515746.6,100.64
CK35,2624174.7,515809.9,98.86
CK36,2623925.2,515495.3,96.33
CK37,2623963.6,515566,103.15
CK38,2624000.8,515650.7,92.8
CK39,2624042.9,515717.5,105.7
CK40,2624077,515780.6,106.21
CK41,2624110.4,515844.1,122.54
CK42,2623861,515529.6,99.51
CK43,2623899.2,515600,101.86
CK44,2623940.7,515678,93.45
CK45,2623978.5,515751.6,106.16
CK46,2624012.6,515814.1,99.11
CK47,2624046.1,515878.7,119.01
DG01,2623943,515333.7,94.86
DG02,2623933.4,515352.5,106.04
DG03,2623924.5,515370.4,110.61
DG04,2623914.2,515390.8,96.03
DZ01,2624312.8,515489.1,109.96
DZ02,2624304.8,515528.5,114.11
DZ03,2624359.5,515613.3,108.11
DZ04,2624217.5,515510.9,113.1
