CK47,0,7.5
CK47,2-1,21.8
CK47,2-2,24.5
CK47,3,27.5
DG01,0-1,0.6
DG01,2-1,2.5
DG01,2-2,6.3
DG01,3,8.3
DG01,4,12.2
DG01,3,15.1
DG01,4,20
DG02,0-1,0.5
DG02,2-1,3.5
DG02,2-2,6.3
DG02,3,9.5
DG02,4,20
DG02,3,24.2
DG02,4,30
DG03,0-1,0.5
DG03,2-2,8.5
DG03,3,17.8
DG03,4,26.7
DG03,3,31.6
DG03,4,34.5
DG04,0-1,0.5
DG04,2-2,5
DG04,3,16
DG04,4,20
DZ01,0,1
DZ01,2-1,5
DZ02,0,1
DZ02,2-1,5
DZ03,0,1
DZ03,2-1,6.5
DZ04,0,1
DZ04,2-1,6
DZ05,0,1
DZ05,2-1,5
DZ06,0-1,2
DZ06,0,4.5
DZ06,1,6.7
DZ06,2-1,12
KK01,0-1,2.7
KK01,1,4.5
KK01,2-2,7.6
KK01,3,9.7
KK01,4,13.4
KK02,0-1,2.1
KK02,0,4
KK02,2-2,10
KK03,0-1,0.7
KK03,0,2
KK03,2-2,8.7
KK03,3,9.6
KK03,4,11.9
KK04,0-1,2.3
KK04,0,3.5
KK04,2-1,6.4
KK04,2-2,11.5
KK04,3,12.8
KK04,4,14.1
KK05,0-1,1.5
KK05,0,2.5
KK05,2-1,10
KK06,0-1,3
KK06,0,4
KK06,1,8.5
KK06,2-1,20
KK06,4,22
KK07,2,3.5
KK07,3,5.1
KK07,4,7.5
KK08,0-1,2.8
KK08,0,3.9
KK08,2-2,13.3
KK08,4,16.6
KK09,0-1,1
KK09,0,2.7
KK09,2-1,8
KK09,2-2,16.7
KK09,3,18.1
KK10,0-1,1
KK10,0,6
KK10,2-1,14.6
KK10,2-2,16.4
KK10,3,19.4
KK11,0-1,1.5
KK11,0,8.3
KK11,1,9.8
KK11,2-2,13
KK11,3,15.6
KK12,0-1,2.8
KK12,0,5.3
KK12,1,11
KK12,2-1,25.2
KK13,0-1,1.7
KK13,0,3.03
KK13,1,6
KK13,2-2,11.6
KK13,3,14.7
KK14,0-1,0.6
KK14,2-2,5.2
KK14,3,11.4
KK14,4,13.1
KK15,0-1,3
KK15,0,4
KK15,1,7
KK15,2-2,20.5
KK15,3,23
KK16,0-1,1.7
KK16,2,3.4
KK16,3,4.8
KK16,4,8.3
KK17,0-1,1.6
KK17,0,4
KK17,2-2,13.8
KK17,3,15.5
KK17,4,17.6
KK18,0-1,0.8
KK18,0,3
KK18,2-2,5.3
KK18,3,11
KK18,4,15
KK19,0-1,0.7
KK19,0-1,1.7
KK19,2-2,4.2
KK19,3,7.8
KK19,4,9.4
SK001,0-1,1.6
SK001,2-2,4.1
SK001,3,9
SK002,2-1,1.8
SK002,2-2,4.9
SK002,3,9.5
SK003,0,1.2
SK003,1,3.5
SK003,2-2,9
SK004,0,2
SK004,2-1,8
SK005,0,2.6
SK005,2-1,8.8
SK005,2-2,19.8
SK006,0,1
SK006,2-1,4
SK006,2-2,15.7
SK006,3,21.8
SK007,0,1.5
SK007,2-1,6.3
SK007,2-2,20
SK007,3,21.6
SK008,0-1,1
SK008,0,3
SK008,2-1,12.5
SK008,3,17.6
SK009,2-1,11.2
SK009,3,15.4
SK010,0-1,1.2
SK010,0,3
SK010,2-1,8.5
SK010,2-2,14
SK010,3,18.8
SK011,0-1,0.7
SK011,0,6.5
SK011,1,10.8
SK011,2-1,12.9
SK011,2-2,15.3
SK011,3,17.7
SK012,2-1,1.5
SK012,2-2,6.1
SK012,3,10.8
SK012,4,15.6
SK013,2-2,3.5
SK013,4,8.1
SK014,0,3.5
SK014,2-2,11
SK014,4,16
SK015,0,2
SK015,2-1,5.1
SK015,2-2,9
SK016,0,1
SK016,2-1,3
SK016,2-2,11.5
SK017,0-1,1
SK017,2-1,6.1
SK017,4,11
SK018,0-1,4
SK018,2-1,6.5
SK018,2-2,12.5
SK018,3,18.5
SK019,2-1,5.1
SK019,2-2,4.9
SK019,3,12.6
SK019,4,16.8
SK020,0,1.7
SK020,1,3.5
SK020,2-1,8.6
SK020,2-2,11.2
SK021,0-1,0.5
SK021,0-1,2.5
SK021,2-2,4.1
SK021,3,8
SK021,4,10.8
SK022,0,1
SK022,2-1,4
SK022,2-2,15.5
SK023,2-1,10.8
SK023,2-2,12.3
SK024,2-2,10.5
SK024,4,15.6
SK025,2-1,1.8
SK025,2-2,8.1
SK025,4,13.4
SK026,2-1,2.5
SK026,2-2,9.5
SK026,3,15.6
SK027,2-2,6.3
SK027,3,11
SK028,2-2,5
SK028,3,10
SK028,4,15.8
SK029,0-1,0.5
SK029,2-1,2.5
SK029,2-2,6.3
SK029,4,11
SK030,0-1,1
SK030,0,6.3
SK030,2-1,15.6
SK031,0,1.1
SK031,2-1,10.7
SK031,2-2,13.5
SK032,2-1,7.8
SK032,3,16.58
SK032,4,17.6
SK033,2-1,3.2
SK033,2-2,12.8
SK033,4,17.7
SK034,0-1,0.8
SK034,0,4
SK034,1,6.3
SK034,2-2,12.8
SK034,3,15.2
SK034,2-2,15.9
SK034,3,17.6
SK035,2-1,4.3
SK035,2-2,9.8
SK035,4,14.5
SK036,2-2,6.3
SK036,3,11
SK037,1,2
SK037,2-1,4.5
SK037,2-2,8
SK037,3,15
SK037,4,17
SK038,2-1,8
SK038,2-2,13
SK038,3,15.7
SK039,0,1
SK039,2-1,13.8
SK039,2-2,16
SK040,0-1,0.8
SK040,3,16
SK041,0-1,1
SK041,2-1,5
SK041,3,7.6
SK041,4,10.8
SK042,2-2,3.8
SK042,3,8.5
SK043,0,2.2
SK043,2-1,6.8
SK043,2-2,8.5
SK043,3,13.2
SK044,2-1,1.9
SK044,2-2,4.6
SK044,3,11
SK045,0-1,1.6
SK045,0,3.1
SK045,2-2,10.8
SK045,3,17.6
SK046,2-2,3
SK046,3,7.7
SK047,2-1,6.8
SK047,2-2,13.4
SK047,3,15.7
SK048,0-1,0.7
SK048,0-1,2.5
SK048,2-2,3.8
SK048,3,10.9
SK050,0,2
SK050,2-1,8.8
SK051,0-1,1
SK051,0,3
SK051,1,6.8
SK051,2-1,20.4
SK051,2-2,22.9
SK051,3,25.4
SK052,2-2,8.7
SK052,4,13
SK053,0-1,0.5
SK053,1,2.7
SK053,2-2,6.3
SK053,4,11.5
SK054,0-1,0.5
SK054,1,1.8
SK054,2-2,4.1
SK054,3,8
SK054,4,12.2
SK055,2-1,8
SK055,2-2,10.6
SK056,0,1
SK056,2-1,3
SK056,2-2,11.8
SK056,3,17
SK056,4,18
SK057,2-1,8.1
SK057,2-2,12
SK058,0,2.1
SK058,2-1,5
SK058,2-2,13.5
SK058,3,15.6
SK058,4,18.2
SK059,0-1,0.8
SK059,0,3
SK059,2-2,6.2
SK059,3,11
SK059,4,13.3
SK060,0-1,0.7
SK060,2-1,4.2
SK060,2-2,6.2
SK060,3,7.1
SK060,4,11
SK061,2-1,4
SK061,2-2,8.5
SK061,3,12
SK062,0-1,0.5
SK062,0,9.8
SK062,1,12.8
SK062,2-2,17.5
SK063,0,1.3
SK063,2-1,5.7
SK063,2-2,10.8
SK064,0-1,0.5
SK064,2-1,11
SK064,2-2,12.8
SK064,3,16.7
SK064,4,20.6
SK065,0-1,1.9
SK065,2-2,11.9
SK065,3,14
SK065,4,21
SK066,0,1
SK066,2-1,8.8
SK066,2-2,10.6
SK067,0-1,1
SK067,2-1,10.8
SK067,2-2,20.2
SK068,2-1,4.1
SK068,2-2,13.6
SK068,3,15
SK069,2-1,3.5
SK069,2-2,11.5
SK069,3,16.7
SK070,0-1,0.7
SK070,1,2
SK070,2-1,5
SK070,2-2,9.2
SK070,3,14.5
SK071,0,3
SK071,2-1,3.5
SK071,2-2,10.1
SK071,3,15.6
SK072,2-1,3
SK072,2-2,15.2
SK073,2-1,3
SK073,2-2,2.8
SK073,3,10.8
SK074,0,1.5
SK074,2-1,4.7
SK074,2-2,13.3
SK074,3,16.2
SK074,4,18
SK075,0,1.8
SK075,2-1,8
SK075,2-2,12
SK076,0-1,0.9
SK076,2-1,4.2
SK076,2-2,8.6
SK076,4,13.6
SK077,0-1,0.8
SK077,2-1,4.2
SK077,2-2,10
SK077,3,15.6
SK078,0-1,1
SK078,2-2,5.1
SK078,4,11
SK079,0,1.6
SK079,2-1,9.8
SK079,2-2,13.5
SK079,3,17.9
SK080,0,1.5
SK080,2-1,8.2
SK080,2-2,13.6
SK081,0,3.2
SK081,2-1,8.8
SK081,2-2,11.2
SK081,3,14.5
SK081,2-2,17.2
SK081,3,20.2
SK082,2-1,3.5
SK082,2-2,14
SK082,3,18.2
SK083,2-1,4.9
SK083,3,10.8
SK084,0,1.3
SK084,2-1,14
SK084,2-2,15.8
SK084,3,18.4
SK084,4,21
SK085,0,2.1
SK085,2-1,9
SK085,2-2,13.8
SK085,3,17
SK085,4,19
SK086,0-1,1.1
SK086,0,2
SK086,2-1,3.3
SK086,2-2,7.2
SK086,3,13.5
SK087,2-1,3.8
SK087,2-2,10.5
SK087,3,15
SK088,0,1
SK088,2-1,12.4
SK088,2-2,13.4
SK088,3,15.6
SK089,0-1,0.6
SK089,1,3.2
SK089,3,7
SK089,4,9.5
SK090,2-2,1.2
SK090,3,9.3
SK090,4,10.5
SK091,0-1,1.2
SK091,2-1,6.2
SK091,2-2,8.2
SK091,3,11.2
SK091,4,13
SK091,4,18.1
SK092,1,3.5
SK092,2-2,10
SK092,3,13.2
SK092,4,17.6
SK093,0,1.5
SK093,2-1,4.2
SK093,2-2,12.4
SK093,3,18.3
SK094,0,1.5
SK094,2-1,4.9
SK094,2-2,13.6
SK094,3,15
SK094,4,18.3
SK095,0-1,2
SK095,2-2,5
SK095,3,8.9
SK096,2-1,4.8
SK096,2-2,8.6
SK096,3,13.3
SK097,2-1,3
SK097,2-2,9.7
SK097,3,13.5
SK098,2-1,3
SK098,2-2,9.4
SK098,3,11.8
SK099,0-1,1.6
SK099,0,3.5
SK099,2-1,10.4
SK099,2-2,12.8
SK100,0,2
SK100,2-1,7
SK100,2-2,15.6
SK100,3,20.1
SK101,2-2,2.8
SK101,3,5.4
SK101,4,11.4
SK102,2-2,2.2
SK102,3,6.4
SK102,4,11.8
SK103,0-1,0.9
SK103,2-2,5
SK103,3,7
SK103,4,10.2
SK104,2-2,5.3
SK104,3,6.5
SK104,4,11.5
SK105,2-1,3
SK105,2-2,13.1
SK105,3,18
SK106,2-1,10.5
SK107,0-1,0.6
SK107,0-1,1
SK107,1,2
SK107,2-2,5
SK107,3,6
SK107,4,12.1
SK108,3,14.6
SK108,4,20.7
SK109,0-1,1
SK109,0,1.8
SK109,2-1,3.5
SK109,2-2,9.7
SK110,0-1,0.8
SK110,0,3.5
SK110,2-1,6.3
SK110,2-2,8.6
SK110,4,13.2
SK111,0-1,1
SK111,0,2
SK111,2-1,4.8
SK111,2-2,13.6
SK111,3,21.8
SK112,0,2
SK112,2-1,5
SK112,2-2,13.4
SK112,3,16.3
SK113,2-1,3.7
SK113,2-2,11.6
SK113,3,15.6
SK114,0,3
SK114,2-1,6.75
SK114,3,9.4
SK114,4,15.6
SK115,2-1,6.8
SK115,2-2,9.3
SK115,4,13.5
SK116,2-1,3
SK116,2-2,6.5
SK116,4,12.3
SK117,0-1,1
SK117,0,3.5
SK117,2-1,8.9
SK117,2-2,12
SK117,3,13.6
SK117,4,18
SK118,2-2,5
SK118,3,7.4
SK118,4,12.2
SK119,0-1,1
SK119,2-1,5.4
SK119,2-2,9.9
SK119,3,12
SK119,4,15.7
SK120,0-1,1
SK120,0,2
SK120,2-1,5
SK120,2-2,9.6
SK120,3,10.5
SK121,0-1,1
SK121,0,2.5
SK121,2-1,6.4
SK121,2-2,10
SK121,3,15
SK121,4,17.7
SK122,0-1,1
SK122,2-2,3.5
SK122,3,5
SK122,4,11.8
SK123,2-2,10
SK123,3,11.5
SK123,3,13.4
SK123,3,16.2
SK123,4,18.5
SK124,2-2,10.3
SK124,3,12.3
SK124,3,20.2
SK125,0-1,0.6
SK125,0-1,1.2
SK125,2-2,5.7
SK125,3,8
SK125,4,12.5
SK126,0,1.2
SK126,2-1,5.6
SK126,2-2,8.3
SK126,3,11.5
SK126,4,16.5
SK127,0,2.4
SK127,2-1,6.3
SK127,2-2,8.5
SK127,4,13.3
SK128,0,2
SK128,2-1,5.4
SK128,2-2,7.7
SK128,3,10.9
SK128,4,16.6
SK129,0-1,1
SK129,0,3
SK129,2-1,6.5
SK129,2-2,9.8
SK129,3,14.5
SK129,4,17.6
SK130,0-1,1.2
SK130,0,5
SK130,2-1,6.4
SK130,2-2,14
SK130,3,15.4
SK131,0-1,1.2
SK131,2-1,4.2
SK131,2-2,11.8
SK132,0,2.8
SK132,2-2,8.2
SK132,3,15.8
SK133,0-1,0.9
SK133,3,2.4
SK133,4,10.2
SK134,2-1,3.2
SK134,3,5.6
SK134,4,10.9
SK135,2-1,1.3
SK135,2-2,6
SK135,4,10
SK136,0-1,0.6
SK136,2-1,3
SK136,2-2,6.3
SK136,3,12.8
SK136,4,17.6
SK137,0,2
SK137,2-1,6
SK137,2-2,8.1
SK137,4,12.8
SK138,0-1,1
SK138,0,2
SK138,2-1,6.9
SK138,2-2,9.7
SK138,4,13.5
SK139,0,0.7
SK139,2-1,7
SK139,3,15.7
SK140,0-1,1.2
SK140,0-1,2
SK140,0-1,12
SK140,0-1,15.8
SK141,2-2,8.7
SK141,3,18.2
SK142,0-1,0.7
SK142,2-2,3.5
SK142,3,5
SK142,4,11
SK143,0-1,1.5
SK143,0-1,2.2
SK143,2-2,3.5
SK143,3,6
SK143,4,12.4
SK144,0-1,1.3
SK144,2-1,3.5
SK144,2-2,10
SK144,3,11.6
SK144,4,17
SK145,0-1,1
SK145,0,2
SK145,2-1,7.4
SK145,2-2,8.4
SK145,1-3,18.4
SK145,1-4,24.2
SK146,0-1,1.1
SK146,0,2
SK146,2-1,6.3
SK146,2-2,9
SK146,3,11
SK146,4,15.9
SK147,0-1,0.5
SK147,0,2.1
SK147,2-1,5
SK147,2-2,11
SK147,3,17
SK147,4,20.4
SK148,0-1,0.9
SK148,2-1,5
SK148,2-2,10
SK148,3,13.5
SK148,4,17.5
SK149,0-1,0.5
SK149,0,1.5
SK149,2-1,4.1
SK149,2-2,8
SK149,3,13.3
SK149,4,15.7
SK150,1-1,2
